

,,10,481,139,167,136,134,188,131,196
,,20,266,301,262,264,261,274,223,264
,,30,339,335,446,333,329,345,338,352
,,40,447,459,480,511,425,405,447,453
,,50,504,470,453,460,463,459,474,469
,,100,939,910,841,819,846,838,942,876
,,150,1301,1297,1254,1147,1301,1651,1277,1318
,,200,1538,1542,1688,2249,1815,1604,1755,1741
,,250,2195,2065,1942,1915,2072,2226,2521,2133
,,300,2346,2626,2824,2329,3567,2567,2318,2653
,,350,2749,3352,3534,3355,3180,3244,2714,3161
,,400,3686,3088,3076,3129,3972,3165,3084,3314
,,450,3497,4103,3521,3478,3524,5382,3918,3917
,,500,3876,4783,4729,5108,4063,3911,3922,4341
,,1000,9069,7830,8807,7788,8602,8891,7858,8406
,,1500,12292,13213,11964,11968,14556,14518,12730,13034
,,2000,22929,19336,18019,18337,17221,17412,17944,18742
,,2500,20282,21221,19887,19749,21994,20585,21581,20757
,,3000,25025,27480,25964,36611,37313,41353,34066,32544
,,3500,36723,40549,33690,31907,27618,29926,30267,32954
,,4000,33959,33366,33381,33378,33074,33702,35410,33752
,,4500,56107,53004,42252,44278,56009,46281,47255,49312
,,5000,61489,126591,100532,87373,68547,85817,127536,93983
,,5500,86290,87059,71910,73847,68049,110492,64310,80279
,,6000,90515,63260,66972,66623,62163,64750,64105,68341
,,6500,68787,65122,56566,56936,55067,71867,59937,62040
,,7000,79939,54117,53528,54042,54106,52240,51818,57112
,,7500,56979,57636,56182,56132,58319,55827,56116,56741
,,8000,59940,61380,59586,63347,74408,59444,61398,62786
,,8500,65164,63740,62244,63356,64591,63431,67821,64335
,,9000,66891,65792,68572,65589,65801,76115,76991,69393
,,9500,85689,78024,81005,78209,77718,75983,81570,79742
,,10000,85444,83958,81301,77099,85993,79512,78764,81724
,,10500,82698,79939,84098,81925,83696,79080,80440,81696
,,11000,87299,89144,87752,93496,89557,92311,86186,89392
,,11500,93042,88472,89338,84265,85190,87245,84590,87448
,,12000,96993,95930,89815,91441,93037,89377,90524,92445
,,12500,91798,96613,97274,96053,100003,101553,96083,97053
,,13000,101770,101048,98003,103096,101510,104870,109061,102765
,,13500,114754,118208,111517,117421,118420,112295,108784,114485
,,14000,115693,113360,120312,121273,118013,125698,124403,119821
,,14500,125019,110086,108614,108145,121978,125770,116613,116603
,,15000,114746,115457,115056,115164,113952,112874,126914,116309
,,15500,123513,122436,119773,120738,119805,117783,117536,120226
,,16000,122054,132051,120264,117523,120198,120059,120016,121737
,,16500
